Word,Number,Definitions,Type,Etymology
blydenis,0,gladness,n,
blydespokken,0,speaks well of others,adj,
boadi,0,mass,n,
boag,0,insect,n,"Prob. < bug, itself of unknown origin"
boannie,0,"bonny, pretty",adj,"appears in 1500s. Orig. unknown, poss. < Fr. bonne 'good (fem.)' + -y"
boar,0,boar,n,
board,0,board,n,
boarder,0,border,n,
boat,0,boat,n,"OSc. ba(i)t(e), bayt(e), etc < eOE baat < PGmc. *baitaz, *baitą 'boat, small ship' < PIE *bʰeyd- 'to split, break'. Notice that ON bátr (> Icel. bátur, Sw., No. båt, Da. båd), Fr. bateau, Occ. batèl, It. batto are all loans < OE baat, while Du. boot, Gm. Boot are loans < MEng boot"
boatbeelder,0,boat builder,n,
boatman,0,boatman,n,
bocht maed,0,,,
bød,0,"lodge; booth, shed; small house",n,"böd, būd, büid, etc. Shetland specific. MEng. boþe, bo(o)th(e), etc. < ODa. *bóð < ON búð < PGmc. *bōþō '(small) building, hut; dwelling' < PIE *bʰuH- 'to become, grow, appear'. Cf. OIr. both 'hut, lodge, (small) cottage'"
boddam,0,"bottom,sea bottom,touch the sea bottom",n,"boddom, boddum, buddom. OW botm, bodam 'bottom; ground' < PGmc. *butmaz, *budmaz 'bottom, foundation; ground, abyss' < PIE *bʰudʰmḗn 'bottom'"
body,0,"person,physical body",n,"OE bodæi, bodeg, bodig 'body, trunk, chest, torso, height, stature' < PWGmc. *bodag 'body, trunk, corpse' < PIE *bʰewdʰ- 'to be awake, be aware'"
bog,0,bog,n,
boil,0,boil,v,
boiler,0,boiler,n,
boky,0,"bogey,supernatural being,oddly dressed person",n,"Late Eng. development, orig. unknown. 1st att. 1825."
bol,0,"pile of peats (stacked for drying),hollow or middle of basket",n,
bøl,0,resting place for animals,n,"Orkney & Shetland specific. < ON ból 'dwelling, abode' < PGmc. *bōþlą 'house, dwelling'. Ultimate orig. debated."
bold,0,bold,adj,
bølliments,0,odds and ends of possessions,n,
bolt,0,bolt,v,
bomb,0,"bomb,bomb",n,
bombardier,0,bombardier,n,
bombaze,0,,,
bomber,0,bomber,n,
bon,0,bottom,n,"In compounds. < ON botn 'bottom' < PGmc. *butmaz 'bottom, ground; foundation' < PIE *bʰudʰmḗn 'bottom'"
bøn apø dir fit,0,,,
bond,0,"bond,bond",n,
bonfrost,0,very hard frost; when water freezes to the bottom,n,Shetland specific.
bong,0,loud knock or report,n,Onomatopoeic
bonhoga,0,place of one's childhood,n,"Shetland specific. Compound bon 'child' (obs.) (< ON barn 'child' < PGmc. *barną 'id.' < PIE *bʰer- 'to bear, carry') + hoga 'pasture, place of resort, familiar spot' (< ON hagi 'pasture, enclosed yard' < PGmc. *hagô 'id.' < PIE *kagʰ-/*kogʰ 'to take, seize; enclosure', poss. borrowing from unknown pre-IE substrate)"
bonus,0,bonus,n,
bonxie,0,great skua (Stercorarius skua),n,"Orkney & Shetland specific. < unattested Norn agent noun, poss. cogn. with NyNo. bangsa 'to walk heavily or clumsily'. Alt. sugg. < ON bunki 'heap' (< PGmc. *bunkô 'heap, pile; bump, lump') figur. as 'dumpy body'"
boo,1,bow of boat,n,"Appears from 1600. < MLGm. bôch / MDu. boech / Da. boug, bov 'shoulders of a boat' < PGmc. *bōguz 'shoulder, upper arm' < PIE *bʰāǵʰus 'arm'"
boo,2,"dwelling, farm house",n,"Obs. ON bú 'house, farm house, dwelling, estate, etc' < deriv. ON búa 'to reside, live' < PGmc. *būaną 'to dwell, reside' < PIE *bʰúHt 'to become' < deriv. *bʰuH- 'to become, grow, appear'"
boo o wadder,0,continuation of same kind of weather,n,
booce,0,work energetically,v,"pan-Sc. < ON bysja 'stream forth, gush forth' < PIE *bh(e)ū̌ 'to swell (up)'"
boocin,0,energetic and always on the move,adj,
boof,0,dull thud,n,Onomatopoeic
boofel,0,"pummel,beat with repeated blows",v,
book,0,book,n,"eOE bōc < PGmc. *bōks 'letter, written message, inscriptions carved into flat objects and pressed together' < uncertain etym."
bookeen,0,bookeen,n,
bookseller,0,bookseller,n,
bookshop,0,bookshop,n,
bool,1,"bowed handle of kettle or pall,anything bent into a curve",n,"OSc. boull, bowl 'curved piece of iron'. Orig. obscure, poss. < MDu. boghel, LGm. bogel (> Du. beugel, Gm. bügel) 'bow, hoop, ring' < PGmc. **beuganą 'to bend; bow' < PIE *bʰewgʰ- 'to bend; curve, arch'"
bool,2,jump through surface of water (esp fish),v,"from 'boil' (19C onwards)< MEng. boil(l)en < OFr. boillir < Lat. bullīre 'to form bubbles, to boil', whence also Icel. bulla 'to bubble, boil'"
bool,3,boil,n,"OE bȳl, bȳle 'boil, swelling' < PGmc. *būlō 'boil, sore' < PIE *bew- 'to blow, inflate, swell'. Scand. lgs (Sw., No. bula, Da. bule) are Hansa loans fr MLGm būle 'boil' (cf. Gm. Beule 'boil')"
boolik,0,pimple,n,
boom,0,boom,n,
boost,0,boost,n,
boostane,0,earthfast stone in foundation of building,n,
booster,0,pillow,n,
booth,0,booth,n,
booze,0,"booze,booze",n,
border,0,border,n,
børdly,0,"robust, strong",adj,
bore,1,"hole in gunwale of boat for sheet, shroud or tack",n,
bore,2,"bore,bore",v,
børep,0,"bow rope for boat,bouy rope for fishing line",n,
borin,0,booring,adj,
born,0,born,adj,
borro,1,wheel barrow,n,
borro,2,borrow,v,
borrowin days,0,last three days in March,n,
bosie,0,"bosom,hug",n,
boss,0,boss,n,
bost,0,,,
bøst,1,"small, oval, wooden carrying box",n,
Bøst tae be,0,,,
Bøst til o been,0,,,
bøt,0,boot,n,
botch,0,botch,v,
bothy,0,bothy,n,
bottle,0,bottle,n,
bottom,0,bottom,n,
boulder,0,boulder,n,
bounce,0,bounce,v,
boundary,0,boundary,n,
bounty,0,bounty,n,
bout,0,bout,n,
bowe,0,"buoy,meal boll",n,
bowel,0,bowel,n,
bowl,0,bowl,n,
box,0,"box,box",v,
boxer,0,boxer,n,
boy,0,boy,n,
boy boy,0,Well!,interj,
boyfriend,0,boyfriend,n,
braa,0,"grand, splendid,fair (bit), a lot",adj,
Braa start,0,quite a while,,
braali,0,"fairly, pretty, quite",adv,
braand,0,burning or partly burned piece of peat,n,
braander,0,"cross-piece in wooden frame, eg between legs of chair",n,
braandiron,0,gridiron,n,
brace,0,brace,n,
bracket,0,bracket,n,
brae,0,"brow of a hill,road with a steep gradient",n,
braess,0,mantelpiece,n,
braesslet,0,bracelet,n,
braeth,0,breath,n,
brag,0,brag,v,
brain,0,brain,n,
brainwave,0,brainwave,n,
brak,0,"break,break",n,
brak da brød,0,"make a path for the first time,do something for the first time (metaphoric)",v,
brak on,0,break up sod in delving,v,
brak oot,0,cultivate fallow or hill ground,v,
brak up,0,bring up in conversation,v,
brakdoon,0,breakdown,n,
brakfist,0,breakfast,n,
bran,0,calf of the leg,n,
branch,0,branch,n,
brand,0,brand,n,
brandy,0,brandy,n,
branks,1,wooden triangle placed as yoke round a sheep's neck to discourage it from trying to escape,n,
branks,2,"mumps,halter with leather nose-piece studded with nails to prevent calf sucking its mother",n,
brash,0,,,
brass,0,brass,n,
brat,0,apron,n,
brathe,0,breathe,v,
breadth,0,breadth,n,
breast,0,breast,n,
breech,0,breech,n,
breed,0,breed,n,
breekbaand,0,waistband of trousers,n,
breeks,0,trousers,n,
breenge,0,rush violently,v,
breer,0,"spring (eg seed),the first shoots of a crop",v,
breest,0,chest,n,
breeze,0,breeze,n,
breid,0,bread,n,
brennastyooch,0,fine sea spray rising from sea breaking on shore,n,
bretch,0,the breaking of waves on a rocky shore,n,
brew,0,brew,v,
brewery,0,brewery,n,
bribe,0,bribe,v,
bricht,0,bright,adj,
brick,0,brick,n,
bridder,0,brother,n,
bridder-in-laa,0,brother-in-law,n,
bride,0,bride,n,
bridegroom,0,bridegroom,n,
brig,0,bridge,n,
brigade,0,brigade,n,
brigdi,0,basking shark,n,
briggistanes,0,footpath of flat stones laid in front of house,n,
brilliant,0,brilliant,adj,
brimasteuch,0,,,
brimstane,0,brimstone,n,
brimtud,0,sound of sea breaking on shore,n,
brind,0,copulate (animals),v,
bring,0,bring,v,
bringe,0,"plunge (into), force yourself (into), make a voilent effort",v,Origin unknown
brismak,0,,,
British,0,British,adj,
brø,0,the water which any kind of food has been boiled in,n,
broach,0,broach,v,
broad,0,broad,adj,
broadcast,0,broadcast,v,
broadside,0,broadside,n,
broag,0,bradawl,n,
broch,0,pre-historic circular stone fort tower,n,"OSc. broch, brogh < ON borg 'castle, fortified place, stronghold, etc' < PGmc. *burg- 'stronghold, fortified place' < PIE *bʰerǵʰ- 'to rise'"
brochen,0,"hot drink containing oatmeal with various additives, such as cream of tartar, and used for cold or high temperatures",n,
brod,0,board,n,
brød,0,"path,breach",n,
broddit,0,covered with a lid (eg a pot),adj,
brogue,0,brogue,n,
brøl,0,"bellow,bellow",n,
brølek dreet,0,,,
brongie,0,great cormorant,n,
Bronze Age,0,Bronze Age,n,
broo,0,"brow (forehead),brow of a hill or slope.",n,
brooch,0,brooch,n,
broog,0,,,
brook,2,heap of seaweed on beach,n,
broom,0,broom,n,
broon,0,brown,adj,
brooncaidies,0,,,
brootch,0,crush,v,
brose,0,dish made by mixing oatmeal with boiling water or milk,n,
brøski,0,"cartilage, gristle (eg in nose)",n,
broth,0,broth,n,
browdened,0,"brazen, forward",adj,
browst,0,"brew of tea,turn of the tide",n,
bruck,1,"rubbish, refuse, useless material",n,"OSc. bro(a)k 'broken or small pieces, fragments' (1538) < OE broc 'misery', gebroc 'fragment', deriv. OE brecan 'to break' < PGmc. *brekaną 'to break' < PIE *bʰreg- 'break'"
bruck,2,crush,n,"OSc. bro(a)k 'broken or small pieces, fragments' (1538) < OE broc 'misery', gebroc 'fragment', deriv. OE brecan 'to break' < PGmc. *brekaną 'to break' < PIE *bʰreg- 'break'"
bruckly,0,"easily broken, friable",adj,
brucks,0,"fragments, remnants of anything broken",n,
brug,0,"small, flat-topped mound,edge, eg of shoreline",n,
brungawheedie,0,cormorant,n,
brunklet,0,,,
brünnie,0,scone,n,
brunt,0,burned,adj,
brunt rift,0,heartburn,n,
brush,0,"brush,brush",n,
brust,0,,,
brute,0,brute,n,
bubble,0,bubble,n,
bucht,0,"coil of fishing line, ca 40-50 fathoms",n,
buckel,0,"entangle, wrap up clumsily,tangle",v,
bucket,0,"bucket,pour down",n,
buckshee,0,,n,
bucky,0,large whelk,n,
bud,0,bud,n,
budder,0,"bother,bother",v,
buddersome,0,bothersome,adj,
Buddhist,0,Buddhist,adj,
büddie,0,smaller straw basket with a band for carrying over the shoulder,n,"buddie, bøddi, buidy, buithy, etc. Shetland specific. < ON bytta 'small tub, pail, bucket' < loan MLGm. butte 'wooden vessel, pail, bowl' < Lat. buttina 'bottle' < Gr. butínē 'wine bottle in woven straw cover'"
buddy,0,buddy,n,
buel,0,bowel,n,"MEng. buel, bewelle, bouel, etc. < OFr. boel, b(o)uel 'bowel' < Lat. botellus 'pudding, sausage; small intestine' dim. botulus 'sausage'"
buelkramp,0,colic,n,
buelriveen,0,hearty meal,n,
bugger,0,ruin,v,
buggie,0,bag made from skin of sheep afetr the wool has been removed,n,
buggiflay,0,skin a sheep in such a manner that the skin is kept in one piece,v,
buggiflooer,0,sea campion,n,
buks,0,walk or trudge heavily (eg through snow),v,
bulder,0,"loud noise,gurgling of water,blunder clumsily",n,
bulderit,0,"clumsy,headstrong",adj,
bulk,0,bulk,n,
bulkheid,0,,n,
bull,0,bull,n,
bullet,0,bullet,n,
bult,0,"butt,butt",v,
bulwaand,0,mugwort,n,
bulwaaver,0,"go astray,wander aimlessly",v,
bulwark,0,bulwark,n,
bumble bee,0,bumble bee,n,
bummel,0,"flounder (esp in water),floundering (esp in water),flounder (in speech)",v,
bummer,0,bulky thing or person,n,
bumper,0,bumper,n,
bunch,0,bunch,n,
bundle,0,bundle,n,
bung,0,throw,v,
bungle,0,a largeish clod of earth,n,
bunk,0,bunk,n,
bunker,0,bunker,n,
buoy,0,"buoy,buoy",n,
burd,0,"nestling, young bird",n,
burden,0,"load,burden",n,
burgie,0,,,
burglar,0,burglar,n,
burial,0,burial,n,
burn,1,stream,n,
burn,2,burn,v,
burra,0,heath rush,n,
burratoog,0,tuft of heath rush,n,
bursary,0,bursary,n,
bursin,0,breathless from exhaustion,adj,
burst,0,burst,v,
bursteen,0,"coarse barley flour,meal made from corn dried in a kettle over fire",n,
bursteen brünnie,0,nickname given to a person from Sandness,n,
bury,0,bury,v,
bus,0,bus,n,
bushem,0,broom,n,
bushropp,0,rope which drift nets are attached to,n,
business,0,business,n,
businessman,0,businessman,n,
busk,0,"dress up or decorate,fishing fly beard",v,
buss,0,nest bedding,n,
busy,0,busy,adj,
but,0,"kitchen and living room, everyday room",n,"OSc. but < OE būtan 'outside' < be + ūtan (< PGmc. *ūt 'out(ward)' < PIE *úd 'out(ward), upwards, away')"
butcher,0,"butcher,butcher",n,
butend,0,,,
butt,0,butt,v,
butter,0,butter,n,
buttercup,0,buttercup,n,
buttermylk,0,buttermilk,n,
buttocks,0,buttocks,n,
button,0,button,n,
buy,0,buy,v,"OE bycġan 'to buy, pay for, acquire, redeem, ransom, procure, get done, sell < PGmc. *bugjaną 'to buy', of uncert. origin."
buyer,0,buyer,n,
by,0,by,prep,"OE bí, big (stressed); bĭ, be (unstressed) 'nera, by, around' < PGmc *bi 'id.' < PIE *h₁epi 'on, at, near'"
bye,0,"near, beside, close to",adj,"OE bî, bī, by, bij, bei, etc (strong/stressed); bĭ, bĕ (weak/unstressed) 'near, next to, beside, close to, etc' < PGmc. *bi 'by, at, near, around' < PIE *h₁epi 'on, at, near'. The OE differentiation between the stressed form for adverbs and strong prepositions and the weak unstressed verbal prefix and preposition remained consistent in the northern and Sc. varieties: cf. modern Scots bĕ (unstressed preposition) eg ‘sit bĕ da fire’, ‘written bĕ a clerk’, etc, versus bye (stressed adverb & preposition), as in ‘stand bye’, etc."
byelsit,0,colour pattern with a white ring around the neck (esp of sheep),adj,
byoag,0,wooden triangle placed as yoke round a sheep's neck to discourage it from trying to escape,n,"biog, bjog. ON baugr 'ring' < PGmc. *baugaz 'bend, circle; ring; collar; crown' deriv. *beuganą 'to bend, bow' < PIE *bʰewgʰ- 'to bend, curve, arch'"
byockel,0,"twisted, buckled",adj,
byok,0,"vomit, spew, throw up",v,"byok, bo(c)k, bok(e), boak, etc. < MEng. bol(c)k(e), bulk, etc. < OE bealcian , bælcian 'to belch, bring up, give forth, emit, etc' < PGmc. *balkōną, *belkaną 'to belch', imitative"
byre,0,shed,n,
byurg,0,rocky hill,n,"Poss. Shetland specific. ON bjerg, bjarg 'rock, boulder; cliff, precipe' < PGmc. *bergaz 'hill, mountain; refuge, shelter' < PIE *bʰerǵʰ- 'high, elevated'"
caa,1,call,v,"OE ceallian 'to call' > MEng. kal(l)(e), kaul, kawl, etc > Mod.Eng. call. Early Scand. loan < ON kalla 'call (out), summon (by calling), shout' > No. kalle, Sw. kalla Da. kalde all 'id'."
caa,2,"drive, herd, esp sheep or cattle,drive in nail, fence post",v,"OE ceallian 'to call' > MEng. kal(l)(e), kaul, kawl, etc > Mod.Eng. call. Early Scand. loan < ON kalla 'call (out), summon (by calling), shout' > No. kalle, Sw. kalla Da. kalde all 'id'. Sco. senses of 'to drive, move, direct etc' from late 15C, later also 'to set in motion, turn, etc' and 'to knock, push' from late 18C."
caa canny,0,go warily or easily,v,
caain whaal,0,,,
caain-time,0,time of year when sheep are gathered in from the hill,n,
caald,0,"cold,common cold",adj,"OE cald < PGmc. *kaldaz 'cold, deriv. *kalaną 'to be cold, to freeze' < PIE *gel(ə)- 'to be cold, to freeze'"
caald-rife,0,very cold and chilly (also metaphorically),adj,
caandle,0,candle,n,
caase,0,cause,v,
caatø,0,disturbance,n,
cabbi-labbi,0,"hubbub, confused noise from several people al speaking at the same time",n,
cabinet,0,cabinet,n,
cable,0,cable,n,
caddel,0,"coloured thread through sheep's ear or round neck for identification purposes,put coloured thread through sheep's ear or neck for identification purposes",n,
caddie,0,bottle fed lamb that has lost its mother,n,
caddie-lam,0,,,
cadge,0,beg,v,
cadger,0,one given to begging,n,
caess,0,case,n,
caess-alaek,0,all the same,adj,
caessen,0,"tainted,beginning to decay, eg fish or meat",adj,
caessen awa,0,"lost, esp at sea",adj,
cafe,0,cafe,n,
caff,0,chaff,n,
cage,0,cage,n,
caird,0,card,n,
cake,0,cake,n,
calafeen,0,pencil,n,
calcium,0,calcium,n,
calculate,0,calculate,v,
calf,0,calf,n,
calm,0,calm,adj,
calmness,0,calmness,n,
caloo,0,long tailed duck,n,
Cam eence a airrant,0,,,
Cam in apø da flør,0,,,
Cam in mind o,0,,,
cam o da kind,0,"was of that kind, type; inherited certain qualities",,
camel,0,camel,n,
camera,0,camera,n,
cammiroageens,0,illicit affair resulting in offspring,n,
camouflage,0,"camouflage,camouflage",n,
camp,0,camp,n,
camshious,0,"fault-finding,perverse",adj,
can,1,"can,manage, be able to",aux,
can,2,can,n,
Canadian,0,Canadian,n,
canal,0,canal,n,
cancer,0,cancer,n,
Candlemas,0,"2 February; one of the quarter days, the others being Lammas, Beltane and Hallomas",n,
cangle,0,quarrel,v,
canna,0,,,
canna can,0,,,
canny,0,"shrewd,skipper's seat in a sixareen where he sat with the helm over his shoulder",adj,
cant,0,"humour, spirits,view, opinion,turn,turn, esp boat turning over",n,
canteen,0,canteen,n,
canty,0,light-hearted,adj,
canvas,0,"canvas,canvas",v,
capabeelity,0,capability,n,
capable,0,capable,v,
cape,0,cape,n,
capsule,0,capsule,n,
captain,0,captain,n,
capture,0,capture,v,
car,0,car,n,
care,0,care,v,
career,0,career,n,
carefil,0,careful,adj,
careless,0,careless,adj,
caretakker,0,caretaker,n,
cargo,0,cargo,n,
carpenter,0,carpenter,n,
carpet,0,carpet,n,
carrot,0,carrot,n,
carvyseeds,0,caraway seeds,n,
caseen,0,casing,n,
cash,0,cash,n,
cask,0,cask,n,
cast,0,"skilful manner of working, technique,manner; look (eg of the sky, about weather),dig peats,reject from flock, esp sheep",n,
cast aff,0,"cast off stitches in knitting,take off, esp clothes",v,
cast by,0,discard,v,
cast oot,0,"quarrel,reject",v,
cast up,0,taunt by raking up the past,v,
castle,0,castle,n,
casual,0,casual,adj,
casualty,0,casualty,n,
cat,0,cat,n,
cat-,0,dark,n > adj,
cataet,0,state of excitement,n,
cataract,0,cataract,n,
catch,0,catch,v,
Catholic,0,Catholic,adj,
catmogit,0,"coloration pattern with a light body and dark belly, esp of sheep",adj,
cattle,0,Cattle,n,
catwaa,0,"partition between two rooms, built up to wall level",n,
caution,0,"a character, person with a droll personality",n,
cave,0,cave,n,
cavity,0,cavity,n,
cease,0,cease,v,
ceevil,0,civil,adj,
ceevilisation,0,civilisation,n,
ceileen,0,ceiling,n,
celery,0,celery,n,
celibrate,0,celebrate,v,
celibration,0,celebration,n,
cell,0,cell,n,
cellar,0,cellar,n,
cello,0,cello,n,
cemetary,0,cemetary,n,
census,0,census,n,
central,0,central,adj,
centre,0,"centre,centre",n,
century,0,century,n,
certain,0,certain,adj,
certainly,0,certainly,adv,
certificate,0,"certificate,certificate",n,
chaep,0,cheap,adj,
chain,0,chain,n,
chairge,0,charge,v,
chalk,0,"chalk,chalk",n,
challenge,0,"challenge,challenge",v,
champion,0,champion,n,
chance,0,"chance,chance",n,
channel,0,channel,n,
chap,0,chap,n,
chapel,0,chapel,n,
chapter,0,chapter,n,
character,0,character (derogatory),n,
characteristic,0,characteristic,n,
charity,0,charity,n,
chart,0,chart,n,
chat,0,"chat,chat",v,
chauffeur,0,chauffeur,n,
cheat,0,cheat,v,
check,0,check,v,
Cheerio,0,Bye; Good bye,,
Cheers,0,thank; bye,,
Cheers eenoo,0,bye for now,,
cheese,0,cheese,n,
cheesecutter,0,cheese cutter,n,
cheesel,0,chisel,n,
chef,0,chef,n,
cheinge,0,change,v,
chemical,0,chemical,n,
chemist,0,chemist,n,
chemistry,0,chemistry,n,
cheque,0,cheque,n,
chequered,0,chequered,adj,
cherry,0,cherry,n,
chess,0,chess,n,
cheviot,0,cheviot,n,
chief,0,chief,n,
chiefly,0,chiefly,adv,
child,0,child,n,
childbirth,0,childbirth,n,
childhood,0,childhood,n,
chill,0,chill,n,
chimney,0,chimney,n,
Chinese,0,Chinese,adj,
chink,0,chink,n,
chip,0,chip,v,
chocolate,0,chocolate,n,
choice,0,choice,n,
choose,0,choose,v,
christen,0,christen,v,
Christian,0,Christian,adj,
Christianity,0,Christianity,n,
Christmas,0,Christmas,n,
chromate,0,chromate,adj,
chrome,0,chrome,n,
chug,0,,,
chum,0,chum,n,
chummy,0,chummy,adj,
chunk,0,chunk,n,
cider,0,cider,n,
cigarette,0,cigarette,n,
cinder,0,cinder,n,
circle,0,circle,n,
circuit,0,circuit,n,
circulate,0,circulate,v,
circulation,0,circulation,n,
circumstance,0,circumstance,n,
circus,0,circus,n,
city,0,city,n,
claa,0,"claw,physical setback caused by illness",v,
claase,0,clause,n,
clachter,0,"clutch,clutch",v,
claem,0,claim,v,
claes,0,clothes,n,
clag,0,"clog, stick together,sticky mess",v,
claggy,0,sticky,adj,
clamp,0,"patch,patch",n,
clap,1,rest or focus eyes (on something),v,
clap,2,clap,v,
clash,1,"talk, gossip",n,
clash,2,clash,v,
clashmelt,0,"messy, dirty state",n,
clashpie,0,"telltale, someone who divulges secrets",n,
class,0,"class,class",n,
classroom,0,classroom,n,
clatterbanes,0,,,
clave,0,,,
clay,0,clay,n,
clean,0,"clean,clean",adj,
cleaner,0,cleaner,n,
clear,0,"clear,clear",adj,
clearance,0,clearance,n,
clearly,0,clearly,adv,
cleek,0,"large hook or crook, for catching olf of and pulling something or for hanging large articles on,fasten or suspend with a hook; to catch hold of,snag",n,
clerical,0,clerical,adj,
clerk,0,clerk,n,
clert,0,"besmear, smear or daub with dirt, bedirty",v,Orig. unknown. MEng beclart in 13C
clester,0,"sticky mess,besmear",n,
click,0,"remove quickly,snatch, pilfer",v,"OE *clǽc(e)an, *clǽhte"
cliff,0,cliff,n,
climb,0,climb,v,
cling,0,cling,v,
clink,0,rivet (eg a bolt or nail),v,"OE clęnc(e)an + contact derived influence from LGmc klinken > Da. klinke, Sw. klinka"
clinkin,0,splendid,adj,
clip,1,shear,v,
clip,2,gaff for catching fish or hauling them out of the water,n,
clipe,1,"tell tales about, report, gossip about, snitch on,telltale, gossip, snitch",v,"OSc. clep(e) (ca 1400), cleip (1513) 'to name, address, accuse, denounce', clip, clyp (fr ca 1500) 'to call or name' < OE clipian, cleopian 'cry, call (on), appeal t; nameo' < PGmc. *klipôjan 'to ring, sound', possibly onomat."
clipe,2,"slap; hit,slap",v,cf. Eng clip
clith,0,cloth,n,
clivver,0,"quick,clever",adj,
cloaset,0,closet,n,
clock,1,brood,v,"OE cloccian (echoic) 'brood, make short, hollow, guttural sound'"
clock,2,clock,n,
clockie-flooer,0,red campion,n,
clockin,0,broody,adj,
clockmidder,0,hen with chickens,n,
clod,0,"small, hard peat",n,
cloobang,0,,,
clood,0,cloud,n,
cloody,0,cloudy,adj,
clooky,0,"cunning; tricky, artful",adj,
cloot,0,"cloth, dish-cloth, sail of a boat,clout",n,Gmc. *klûto-z > OE clút 'piece of cloth'
clooter,0,sound of clumsy feet,n,
closs,1,narrow lane with houses on each side,n,
closs,2,"close,close",adj,
closser,0,closer,adj,
clossest,0,closest,adj,
clothier,0,clothier,n,
clowe,0,clove,n,
clowie-flooer,0,bog asphodel,n,
club,0,"club,club",n,
clud,0,cloud,n,
clump,0,make a heavy noise in walking,v,
clumsy,0,clumsy,adj,
clutch,0,clutch,n,
coach,0,"coach,coach",v,
coachbuilder,0,coach builder,n,
coard,0,cord,n,
coarn,0,"corn,small quantity",n,"PIE. *ǵerh₂- 'mature' > *ǵr̥h₂nóm 'grain; worn down' > Gmc. *kurną 'grain, corn' > OE corn / ON korn"
coax,0,coax,v,
cob on,0,,,
cobbler,0,cobbler,n,
cockie,0,defecate,v,
cockies,0,excrement,n,
cockle,0,cockle,n,
cockpit,0,cockpit,n,
cocoa,0,cocoa,n,
cod,0,cod,n,
code,0,code,n,
codleen,0,codling,n,
coffee,0,coffee,n,
coffin,0,coffin,n,
cog,0,"small, wooden vessel",n,"Orig. uncertain. Osc. cog(u)(e) 'wooden vessel made of hooped staves', 1st att 1502. Poss. < ON kaggi, kaggr 'wooden vessel' > Faer. kaggi, No., Sw. kagge 'small barrel, wooden vessel'"
coil,0,"coil,coil",n,
coiler,0,coiler,n,
coin,0,coin,n,
coincidence,0,coincidence,n,
coinige,0,coinage,n,
coll,0,"coal,burning piece of fuel,brand",n,Cf. Eng. cole
collapse,0,collapse,v,
collar,0,"collar,collar",n,
collcoomed,0,burned,adj,
collection,0,collection,n,
collek,0,collect,v,
collier,0,collier,n,
collige,0,college,n,
cøllik,0,calm,n,
collslock,0,state of being extinguished,n,
colony,0,colony,n,
colour,0,"colour,colour",n,
coloured,0,coloured,adj,
column,0,column,n,
Comanche,0,"Comanche,langauge variety",adj,
come,0,come,v,
Come aboot,0,get better,,
come apün,0,,,
Come at,0,improve,v,
Come awa,0,,,
Come awa in,0,,,
Come dee wis,0,,,
Come dee wis in,0,,,
come tae be,0,focus copula; copular expression conveying new or unexpected information,v,
Come you,0,,,
comfort,0,"comfort,comfort",n,
comfortable,0,comfortable,adj,
comical,0,comical,adj,
comin til,0,approaching,adv,
commaand,0,"command,command",n,
commaander,0,commander,n,
commeesion,0,commission,n,
commeesioner,0,commissioner,n,
comment,0,comment,n,
commercial,0,commercial,adj,
committee,0,committee,n,
common,0,common,adj,
commonest,0,commonest,adj,
commons,0,commons,n,
communal,0,communal,adj,
communicate,0,communicate,v,
communication,0,communication,n,
communion,0,communion,n,
community,0,community,n,
compact,0,compact,adj,
company,0,company,n,
compare,0,compare,v,
compass,0,compass,n,
compensation,0,compensation,n,
compete,0,compete,v,
competeetion,0,competition,n,
complen,0,complain,v,
complent,0,complaint,n,
complete,0,complete,v,
completely,0,completely,adv,
complicated,0,complicated,adj,
compose,0,compose,v,
compulsory,0,compulsory,adj,
computer,0,computer,n,
comrade,0,comrade,n,
con,0,con,v,
concentrate,0,concentrate,v,
concern,0,"concern,concern",v,
concerned,0,concerned,adj,
concert,0,concert,n,
conclusion,0,conclusion,n,
concrete,0,concrete,adj,
condamned,0,,,
condeetion,0,condition,n,
condeetioner,0,conditioner,n,
condemn,0,condemn,v,
condiscending,0,condescending,adj,
condwined,0,hateful,adj,
confidence,0,confidence,n,
confidential,0,confidential,adj,
confine,0,confine,v,
confinement,0,confinement,n,
confirm,0,confirm,v,
confirmation,0,confirmation,n,
confuse,0,confuse,v,
congrigation,0,congregation,n,
connek,0,connect,v,
connotation,0,connotation,n,
conscience,0,conscience,n,
conscious,0,conscious,adj,
conscription,0,conscription,n,
consent,0,consent,v,
conservation,0,conservation,n,
conservationist,0,conservationist,n,
consider,0,consider,v,
considerable,0,considerable,adj,
consist,0,consist,v,
consistency,0,consistency,n,
consonant,0,consonant,n,
constable,0,constable,n,
construction,0,construction,n,
contact,0,contact,n,
conteenual,0,continual,adj,
conteenuation,0,continuation,n,
conteenue,0,continue,v,
context,0,context,n,
continent,0,continent,n,
continuity,0,continuity,n,
contract,0,"contract,contract",v,
contractor,0,contractor,n,
contrast,0,contrast,n,
contribute,0,contribute,v,
contribution,0,contribution,n,
control,0,control,n,
controversial,0,controversial,adj,
convenience,0,convenience,n,
conveniently,0,conveniently,adv,
conversation,0,conversation,n,
converse,0,converse,v,
convert,0,convert,v,
convince,0,convince,v,
convoy,0,convoy,n,
coo,0,cow,n,"PIE *gʷōu- 'ox' > Gmc. kwō- 'cow' > OE cú 'cow', pl. cý(e) > MEng ku/cu, pl. ky, kye > OSc. ku/coo, pl. kye"
cooch,0,couch,n,
cook,0,cook,v,
cooker,0,cooker,n,
